Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Abfluss,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1951 12:00,01.01.2019 00:00]
Werte:
24.01.1951 12:00:00; 0,150
14.02.1951 12:00:00; 0,130
31.03.1951 12:00:00; 0,230
30.04.1951 12:00:00;  6,10
28.05.1951 12:00:00;  18,1
19.06.1951 12:00:00;  42,0
17.07.1951 12:00:00;  19,9
09.08.1951 12:00:00;  26,2
08.09.1951 12:00:00;  28,8
02.10.1951 12:00:00;  3,22
12.11.1951 12:00:00;  5,02
05.12.1951 12:00:00; 0,440
16.01.1952 12:00:00; 0,370
04.02.1952 12:00:00; 0,300
30.03.1952 12:00:00; 0,280
30.04.1952 12:00:00;  7,74
08.05.1952 12:00:00;  10,3
18.06.1952 12:00:00;  29,4
17.07.1952 12:00:00;  32,1
16.08.1952 12:00:00;  40,0
06.09.1952 12:00:00;  26,8
26.10.1952 12:00:00;  13,2
01.11.1952 12:00:00;  1,43
05.12.1952 12:00:00; 0,440
05.01.1953 12:00:00; 0,330
05.02.1953 12:00:00; 0,250
31.03.1953 12:00:00;  1,08
30.04.1953 12:00:00;  1,68
25.05.1953 12:00:00;  16,6
09.06.1953 12:00:00;  33,5
19.07.1953 12:00:00;  35,0
22.08.1953 12:00:00;  24,5
26.09.1953 12:00:00;  17,0
18.10.1953 12:00:00;  18,6
01.11.1953 12:00:00;  1,25
01.12.1953 12:00:00; 0,300
01.01.1954 12:00:00; 0,230
14.02.1954 12:00:00; 0,180
31.03.1954 12:00:00; 0,180
08.04.1954 12:00:00; 0,650
27.05.1954 12:00:00;  10,3
22.06.1954 12:00:00;  30,0
29.07.1954 12:00:00;  21,8
22.08.1954 12:00:00;  24,5
21.09.1954 12:00:00;  13,8
02.10.1954 12:00:00;  5,87
01.11.1954 12:00:00;  1,34
02.12.1954 12:00:00; 0,400
08.01.1955 12:00:00; 0,280
09.02.1955 12:00:00; 0,180
30.03.1955 12:00:00; 0,230
30.04.1955 12:00:00;  2,61
27.05.1955 12:00:00;  8,24
21.06.1955 12:00:00;  28,0
10.07.1955 12:00:00;  22,9
20.08.1955 12:00:00;  15,2
07.09.1955 12:00:00;  13,2
21.10.1955 12:00:00;  2,91
10.11.1955 12:00:00;  1,17
19.12.1955 12:00:00; 0,370
01.01.1956 12:00:00; 0,250
07.02.1956 12:00:00; 0,160
03.03.1956 12:00:00; 0,690
16.04.1956 12:00:00;  1,43
30.05.1956 12:00:00;  17,0
06.06.1956 12:00:00;  17,0
30.07.1956 12:00:00;  31,4
21.08.1956 12:00:00;  37,3
13.09.1956 12:00:00;  40,0
04.10.1956 12:00:00;  8,50
