Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1963 00:00,01.01.2019 00:00]
Werte:
25.01.1963 00:00:00;     8
13.02.1963 00:00:00;     8
24.03.1963 00:00:00;     5
30.04.1963 00:00:00;    34
28.05.1963 00:00:00;    79
27.06.1963 18:00:00;   120
02.07.1963 18:00:00;   108
18.08.1963 18:00:00;   144
05.09.1963 18:00:00;   119
04.10.1963 00:00:00;    48
04.11.1963 18:00:00;    37
09.12.1963 18:00:00;    53
29.01.1964 00:00:00;    12
20.02.1964 00:00:00;     7
26.03.1964 00:00:00;     9
29.04.1964 18:00:00;    40
14.05.1964 18:00:00;    90
08.06.1964 18:00:00;   129
31.07.1964 18:00:00;   128
02.08.1964 18:00:00;   136
17.09.1964 18:00:00;    78
07.10.1964 18:00:00;    42
25.11.1964 00:00:00;    24
01.12.1964 00:00:00;    19
01.01.1965 00:00:00;    12
25.02.1965 00:00:00;    10
31.03.1965 00:00:00;    14
09.04.1965 00:00:00;    18
19.05.1965 18:00:00;   107
23.06.1965 18:00:00;   137
01.07.1965 18:00:00;   132
23.08.1965 18:00:00;   122
02.09.1965 18:00:00;   134
02.10.1965 18:00:00;    68
01.11.1965 00:00:00;    40
10.12.1965 00:00:00;    35
01.01.1966 00:00:00;    28
01.02.1966 00:00:00;    25
23.03.1966 00:00:00;    27
30.04.1966 18:00:00;    63
06.05.1966 18:00:00;   105
19.06.1966 18:00:00;   131
23.07.1966 18:00:00;   139
18.08.1966 18:00:00;   174
08.09.1966 18:00:00;    72
04.10.1966 18:00:00;    66
05.11.1966 18:00:00;    73
01.12.1966 00:00:00;    10
01.01.1967 00:00:00; Lücke
01.02.1967 00:00:00; Lücke
01.03.1967 00:00:00; Lücke
01.04.1967 00:00:00; Lücke
01.05.1967 00:00:00; Lücke
01.06.1967 00:00:00; Lücke
01.07.1967 00:00:00; Lücke
01.08.1967 00:00:00; Lücke
01.09.1967 00:00:00; Lücke
01.10.1967 00:00:00; Lücke
01.11.1967 00:00:00; Lücke
01.12.1967 00:00:00; Lücke
01.01.1968 00:00:00;     8
01.02.1968 00:00:00;     5
31.03.1968 00:00:00;    16
24.04.1968 00:00:00;    64
06.05.1968 18:00:00;   108
30.06.1968 18:00:00;   117
09.07.1968 18:00:00;   141
03.08.1968 18:00:00;   111
16.09.1968 18:00:00;    93
09.10.1968 18:00:00;    54
03.11.1968 18:00:00;    86
01.12.1968 00:00:00;    14
01.01.1969 00:00:00;     9
28.02.1969 00:00:00;     6
31.03.1969 00:00:00;     7
29.04.1969 18:00:00;    66
29.05.1969 18:00:00;   112
